query,predicted_mql
What is the profits in 1st quarter of last year,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'1st quarter of last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}"
What is the profits by product name in 1st quarter of last year,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}, 'DATE VARIABLE': {'1st quarter of last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}"
What is the profits of el salvador in 1st quarter of last year,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'1st quarter of last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}"
What is the profits by product name in 1st quarter of last year vs q2 2020,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}, 'DATE VARIABLE': {'1st quarter of last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}], 'q2 2020': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 2 2020'}]}}"
What is the profits in 1st quarter of last year vs q2 2020,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}]}, 'DATE VARIABLE': {'1st quarter of last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}], 'q2 2020': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 2 2020'}]}}"
What is the profits and sales in 1st quarter of last year,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}]}, 'DATE VARIABLE': {'1st quarter of last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}"
What is the profits and sales by product name in 1st quarter of last year,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}, 'DATE VARIABLE': {'1st quarter of last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}"
What is the profits and sales by product name and ship mode in 1st quarter of last year,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}], 'ship mode': [{'ENTITY': 'Ship Mode'}]}, 'DATE VARIABLE': {'1st quarter of last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}]}}"
What is the profits and sales in 1st quarter of last year vs q2 2020,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}]}, 'DATE VARIABLE': {'1st quarter of last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}], 'q2 2020': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 2 2020'}]}}"
What is the profits and sales by product name in 1st quarter of last year vs q2 2020,"{'MEASURE': {'profits': [{'ENTITY': 'Profit'}], 'sales': [{'ENTITY': 'Sales'}]}, 'DIMENSION': {'product name': [{'ENTITY': 'Product Name'}]}, 'DATE VARIABLE': {'1st quarter of last year': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 1 last year'}], 'q2 2020': [{'ENTITY': 'Order Date', 'CONVERTED TIME ELEMENT': 'quarter 2 2020'}]}}"
